source,target,transaction_type,amount,hash,timeStamp,label,tokenSymbol,contractAddress,source_layer,source_clean,target_clean,is_service_provider,service_matched_side,service_provider_name,service_provider_category,service_provider_source,service_provider_note
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x686925ac7257a4aa5232cbfc7281e6ef8bfda942,normal_eth,0.103,0x7575c44e86842f356ba4b7201965288982d002d175dd5bb68b3f668907b01cc5,1629300914,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x686925ac7257a4aa5232cbfc7281e6ef8bfda942,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x248de15e3a0da895f4f82cd24bff89964e4aa381,normal_eth,0.05,0x1478c40ff9915666f872d853f71d877c22dc20ac5e94690d6b4552e5e198b828,1629337327,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x248de15e3a0da895f4f82cd24bff89964e4aa381,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0xbbd76ef928bffd09489381b06ee34fd4be7c7b26,normal_eth,0.16,0x4213dc9717fc53d529f2ebd032a2c039e918227cc971a5928030f4088dae2ede,1629395128,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0xbbd76ef928bffd09489381b06ee34fd4be7c7b26,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,normal_eth,0.03,0x2351c4b41202d75d1ef822eab01643838a87262dea30241971324e2b33377220,1629417367,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0xc22c8cdb8d1b410fc36bff7510ab8013717649ea,normal_eth,0.037,0x82dab9e8fb42f3baa56635c11272fe905f19196822f862c837593b09c9fb011f,1629417520,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0xc22c8cdb8d1b410fc36bff7510ab8013717649ea,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x686925ac7257a4aa5232cbfc7281e6ef8bfda942,normal_eth,0.443,0x2a7d580a7ffb35c69449b6f2814c7253fe6f79c1c189e034ec642fe8e32488f2,1629475907,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x686925ac7257a4aa5232cbfc7281e6ef8bfda942,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x2f7445cf648fd1d4d299e4bd0a550df697de055b,normal_eth,0.069,0x60b54ec3c972312ea09125ed3ae061213a867fedc6803d02ee9342bda3d662ac,1629480853,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x2f7445cf648fd1d4d299e4bd0a550df697de055b,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0xf3ae416615a4b7c0920ca32c2dfebf73d9d61514,normal_eth,0.2,0x35ce8111b32a196160a6d2440f00a2eff47a3db7c2553b63ab349f4552317d67,1629500418,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0xf3ae416615a4b7c0920ca32c2dfebf73d9d61514,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x0f0cebf99c37dfd69b25a66a957e23ec5193065e,normal_eth,1.0916,0xd4db89b1d90a35c801877075aacbdfdd4e0ee3e6b3ce051039b36a66754eff6c,1629503455,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x0f0cebf99c37dfd69b25a66a957e23ec5193065e,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x11faf848f03eee6908b68d6919270af3b0a90db5,normal_eth,0.05,0x76da0cc56901d63002240d325a7daf2e9044ceb44b2aa8c8e5e4238215067a31,1629646037,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x11faf848f03eee6908b68d6919270af3b0a90db5,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x2fedd7f5ad4456352692a9ca0aa1f76e86975893,normal_eth,0.03,0xcc03f2100704e8a86975104199b51b3471de8e8e8e53c3de6220882f0f8eb0ab,1629648388,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x2fedd7f5ad4456352692a9ca0aa1f76e86975893,False,none,,,,
